,Dataset,Impute method,Model-based imputation,Package,Percent data missing,Score (AUC)
0,Churn,K-Nearest Neighbors,Y,sklearn,0.02,0.9149831443456942
1,Churn,MICE,Y,sklearn,0.02,0.9149524977015016
2,Churn,Expectation Maximization,Y,impyute,0.02,0.9177965062825622
3,Churn,Missing Forest,Y,missingpy,0.02,0.9201386760649708
4,Churn,K-Nearest Neighbors,Y,sklearn,0.04,0.9123275887207302
5,Churn,MICE,Y,sklearn,0.04,0.9142018779342724
6,Churn,Expectation Maximization,Y,impyute,0.04,0.9155680459569008
7,Churn,Missing Forest,Y,missingpy,0.04,0.9060449654448428
8,Churn,K-Nearest Neighbors,Y,sklearn,0.06,0.9194660717930774
9,Churn,MICE,Y,sklearn,0.06,0.91838859242411
10,Churn,Expectation Maximization,Y,impyute,0.06,0.9212594407021841
11,Churn,Missing Forest,Y,missingpy,0.06,0.9204655469046159
12,Churn,K-Nearest Neighbors,Y,sklearn,0.08,0.9040424212166598
13,Churn,MICE,Y,sklearn,0.08,0.906484213074328
14,Churn,Expectation Maximization,Y,impyute,0.08,0.9024410354165721
15,Churn,Missing Forest,Y,missingpy,0.08,0.9039115569070636
16,Churn,K-Nearest Neighbors,Y,sklearn,0.1,0.9068885897101826
17,Churn,MICE,Y,sklearn,0.1,0.9079359564550219
18,Churn,Expectation Maximization,Y,impyute,0.1,0.9112915834274301
19,Churn,Missing Forest,Y,missingpy,0.1,0.9064564694982484
20,Churn,K-Nearest Neighbors,Y,sklearn,0.12,0.903442355410759
21,Churn,MICE,Y,sklearn,0.12,0.9052654569280892
22,Churn,Expectation Maximization,Y,impyute,0.12,0.9089799125153948
23,Churn,Missing Forest,Y,missingpy,0.12,0.9095183493195981
24,Churn,K-Nearest Neighbors,Y,sklearn,0.14,0.9222522960890456
25,Churn,MICE,Y,sklearn,0.14,0.918584635971048
26,Churn,Expectation Maximization,Y,impyute,0.14,0.9192848671005412
27,Churn,Missing Forest,Y,missingpy,0.14,0.915487956936926
28,Churn,K-Nearest Neighbors,Y,sklearn,0.16,0.9024477676100296
29,Churn,MICE,Y,sklearn,0.16,0.9029490395599996
30,Churn,Expectation Maximization,Y,impyute,0.16,0.8994887173326738
31,Churn,Missing Forest,Y,missingpy,0.16,0.9032684992168084
32,Churn,K-Nearest Neighbors,Y,sklearn,0.18,0.9175660751297297
33,Churn,MICE,Y,sklearn,0.18,0.9165191606529599
34,Churn,Expectation Maximization,Y,impyute,0.18,0.9169034327296932
35,Churn,Missing Forest,Y,missingpy,0.18,0.9185229731160834
36,Churn,K-Nearest Neighbors,Y,sklearn,0.2,0.9062353439537664
37,Churn,MICE,Y,sklearn,0.2,0.9120606968335376
38,Churn,Expectation Maximization,Y,impyute,0.2,0.9118277129759906
39,Churn,Missing Forest,Y,missingpy,0.2,0.9160690782008806
40,Churn,K-Nearest Neighbors,Y,sklearn,0.22,0.9153109488876174
41,Churn,MICE,Y,sklearn,0.22,0.9156726566876252
42,Churn,Expectation Maximization,Y,impyute,0.22,0.9198042134839874
43,Churn,Missing Forest,Y,missingpy,0.22,0.914879595486366
44,Churn,K-Nearest Neighbors,Y,sklearn,0.24,0.9079961122304968
45,Churn,MICE,Y,sklearn,0.24,0.909137441823997
46,Churn,Expectation Maximization,Y,impyute,0.24,0.9019943310758234
47,Churn,Missing Forest,Y,missingpy,0.24,0.904458212395298
48,Churn,K-Nearest Neighbors,Y,sklearn,0.26,0.916202880784554
49,Churn,MICE,Y,sklearn,0.26,0.9160350904076004
50,Churn,Expectation Maximization,Y,impyute,0.26,0.9179765553171928
51,Churn,Missing Forest,Y,missingpy,0.26,0.9183795586883235
52,Churn,K-Nearest Neighbors,Y,sklearn,0.28,0.9118716244287496
53,Churn,MICE,Y,sklearn,0.28,0.91226374764425
54,Churn,Expectation Maximization,Y,impyute,0.28,0.9116744338674037
55,Churn,Missing Forest,Y,missingpy,0.28,0.908867855229012
56,Churn,K-Nearest Neighbors,Y,sklearn,0.3,0.9179389200048522
57,Churn,MICE,Y,sklearn,0.3,0.9206276647050295
58,Churn,Expectation Maximization,Y,impyute,0.3,0.9184537387975136
59,Churn,Missing Forest,Y,missingpy,0.3,0.9163582192003741
60,Churn,K-Nearest Neighbors,Y,sklearn,0.32,0.9258315119548659
61,Churn,MICE,Y,sklearn,0.32,0.9270989505247376
62,Churn,Expectation Maximization,Y,impyute,0.32,0.9251834925910541
63,Churn,Missing Forest,Y,missingpy,0.32,0.9264652312398016
64,Churn,K-Nearest Neighbors,Y,sklearn,0.34,0.9125695671084048
65,Churn,MICE,Y,sklearn,0.34,0.9205869821854944
66,Churn,Expectation Maximization,Y,impyute,0.34,0.9138048363379224
67,Churn,Missing Forest,Y,missingpy,0.34,0.913958690229982
68,Churn,K-Nearest Neighbors,Y,sklearn,0.36,0.9210651645038191
69,Churn,MICE,Y,sklearn,0.36,0.9247864453463892
70,Churn,Expectation Maximization,Y,impyute,0.36,0.9258276759550808
71,Churn,Missing Forest,Y,missingpy,0.36,0.9241516966067864
72,Churn,K-Nearest Neighbors,Y,sklearn,0.38,0.9025282127547896
73,Churn,MICE,Y,sklearn,0.38,0.9049062490887352
74,Churn,Expectation Maximization,Y,impyute,0.38,0.9006517365059924
75,Churn,Missing Forest,Y,missingpy,0.38,0.9100661942670516
76,Churn,K-Nearest Neighbors,Y,sklearn,0.4,0.9088948260711338
77,Churn,MICE,Y,sklearn,0.4,0.9051194882582853
78,Churn,Expectation Maximization,Y,impyute,0.4,0.9071750650180632
79,Churn,Missing Forest,Y,missingpy,0.4,0.9085952547909216
80,Churn,K-Nearest Neighbors,Y,sklearn,0.42,0.90337865302829
81,Churn,MICE,Y,sklearn,0.42,0.8989847053613138
82,Churn,Expectation Maximization,Y,impyute,0.42,0.9006326253268538
83,Churn,Missing Forest,Y,missingpy,0.42,0.9018611712744724
84,Churn,K-Nearest Neighbors,Y,sklearn,0.44,0.9135222777476972
85,Churn,MICE,Y,sklearn,0.44,0.9108461076444672
86,Churn,Expectation Maximization,Y,impyute,0.44,0.9121287165330799
87,Churn,Missing Forest,Y,missingpy,0.44,0.9098016764156776
88,Churn,K-Nearest Neighbors,Y,sklearn,0.46,0.9186146774260688
89,Churn,MICE,Y,sklearn,0.46,0.9205659092666044
90,Churn,Expectation Maximization,Y,impyute,0.46,0.9163780082420032
91,Churn,Missing Forest,Y,missingpy,0.46,0.9155573758793552
92,Churn,K-Nearest Neighbors,Y,sklearn,0.48,0.9142321956742768
93,Churn,MICE,Y,sklearn,0.48,0.9128406911452076
94,Churn,Expectation Maximization,Y,impyute,0.48,0.9133230601257049
95,Churn,Missing Forest,Y,missingpy,0.48,0.9141621510768092
96,Churn,K-Nearest Neighbors,Y,sklearn,0.5,0.9084952492793852
97,Churn,MICE,Y,sklearn,0.5,0.9050164912655292
98,Churn,Expectation Maximization,Y,impyute,0.5,0.9055551965747614
99,Churn,Missing Forest,Y,missingpy,0.5,0.9096435976243588
100,Churn,K-Nearest Neighbors,Y,sklearn,0.52,0.912877274892524
101,Churn,MICE,Y,sklearn,0.52,0.9074346934609138
102,Churn,Expectation Maximization,Y,impyute,0.52,0.9096263717405904
103,Churn,Missing Forest,Y,missingpy,0.52,0.9076469822446692
104,Churn,K-Nearest Neighbors,Y,sklearn,0.54,0.8996751455715599
105,Churn,MICE,Y,sklearn,0.54,0.8964005516395954
106,Churn,Expectation Maximization,Y,impyute,0.54,0.8926923076923077
107,Churn,Missing Forest,Y,missingpy,0.54,0.8954589334967821
108,Churn,K-Nearest Neighbors,Y,sklearn,0.56,0.9003700227265182
109,Churn,MICE,Y,sklearn,0.56,0.897114215090046
110,Churn,Expectation Maximization,Y,impyute,0.56,0.8972545581306911
111,Churn,Missing Forest,Y,missingpy,0.56,0.896328746781919
112,Churn,K-Nearest Neighbors,Y,sklearn,0.58,0.9139606915582588
113,Churn,MICE,Y,sklearn,0.58,0.9072182801148844
114,Churn,Expectation Maximization,Y,impyute,0.58,0.9108689530889228
115,Churn,Missing Forest,Y,missingpy,0.58,0.9180794897786788
116,Churn,K-Nearest Neighbors,Y,sklearn,0.6,0.9161777367500732
117,Churn,MICE,Y,sklearn,0.6,0.9163508223786404
118,Churn,Expectation Maximization,Y,impyute,0.6,0.9140008521138636
119,Churn,Missing Forest,Y,missingpy,0.6,0.9100154445637798
120,Churn,K-Nearest Neighbors,Y,sklearn,0.62,0.9176809878811434
121,Churn,MICE,Y,sklearn,0.62,0.9150899786830606
122,Churn,Expectation Maximization,Y,impyute,0.62,0.9194019479678244
123,Churn,Missing Forest,Y,missingpy,0.62,0.9156759000812634
124,Churn,K-Nearest Neighbors,Y,sklearn,0.64,0.9138109102053324
125,Churn,MICE,Y,sklearn,0.64,0.9138576463377259
126,Churn,Expectation Maximization,Y,impyute,0.64,0.9136040453570334
127,Churn,Missing Forest,Y,missingpy,0.64,0.9101685565430584
128,Churn,K-Nearest Neighbors,Y,sklearn,0.66,0.9171771771771772
129,Churn,MICE,Y,sklearn,0.66,0.9190375375375376
130,Churn,Expectation Maximization,Y,impyute,0.66,0.9162920420420421
131,Churn,Missing Forest,Y,missingpy,0.66,0.9195352852852854
132,Churn,K-Nearest Neighbors,Y,sklearn,0.68,0.9091963838615066
133,Churn,MICE,Y,sklearn,0.68,0.911662881226602
134,Churn,Expectation Maximization,Y,impyute,0.68,0.911738888094046
135,Churn,Missing Forest,Y,missingpy,0.68,0.9166838054701101
136,Churn,K-Nearest Neighbors,Y,sklearn,0.7,0.9116485873238326
137,Churn,MICE,Y,sklearn,0.7,0.9149345685528638
138,Churn,Expectation Maximization,Y,impyute,0.7,0.9110843662219634
139,Churn,Missing Forest,Y,missingpy,0.7,0.9073683939112656
140,Churn,K-Nearest Neighbors,Y,sklearn,0.72,0.9152057824848512
141,Churn,MICE,Y,sklearn,0.72,0.9183641764240648
142,Churn,Expectation Maximization,Y,impyute,0.72,0.9153730309283256
143,Churn,Missing Forest,Y,missingpy,0.72,0.9195141023887538
144,Churn,K-Nearest Neighbors,Y,sklearn,0.74,0.9173201870396276
145,Churn,MICE,Y,sklearn,0.74,0.9159033109369056
146,Churn,Expectation Maximization,Y,impyute,0.74,0.9199337692798496
147,Churn,Missing Forest,Y,missingpy,0.74,0.9200153969200168
148,Churn,K-Nearest Neighbors,Y,sklearn,0.76,0.9060719872494908
149,Churn,MICE,Y,sklearn,0.76,0.9096802042442668
150,Churn,Expectation Maximization,Y,impyute,0.76,0.9094455594581036
151,Churn,Missing Forest,Y,missingpy,0.76,0.9162746081874796
152,Churn,K-Nearest Neighbors,Y,sklearn,0.78,0.9227818319755784
153,Churn,MICE,Y,sklearn,0.78,0.9161014372331906
154,Churn,Expectation Maximization,Y,impyute,0.78,0.920867126677625
155,Churn,Missing Forest,Y,missingpy,0.78,0.9261069766321658
156,Churn,K-Nearest Neighbors,Y,sklearn,0.8,0.895645169343919
157,Churn,MICE,Y,sklearn,0.8,0.9007705728409422
158,Churn,Expectation Maximization,Y,impyute,0.8,0.8990427684815588
159,Churn,Missing Forest,Y,missingpy,0.8,0.8980162191851636
160,Churn,K-Nearest Neighbors,Y,sklearn,0.82,0.9136946471798044
161,Churn,MICE,Y,sklearn,0.82,0.9158476360349209
162,Churn,Expectation Maximization,Y,impyute,0.82,0.9160569438630338
163,Churn,Missing Forest,Y,missingpy,0.82,0.914062452602394
164,Churn,K-Nearest Neighbors,Y,sklearn,0.84,0.9214291859471884
165,Churn,MICE,Y,sklearn,0.84,0.923750530022307
166,Churn,Expectation Maximization,Y,impyute,0.84,0.9286743604397496
167,Churn,Missing Forest,Y,missingpy,0.84,0.9233080766181812
168,Churn,K-Nearest Neighbors,Y,sklearn,0.86,0.8957636004047185
169,Churn,MICE,Y,sklearn,0.86,0.9019008623193058
170,Churn,Expectation Maximization,Y,impyute,0.86,0.9026956266563959
171,Churn,Missing Forest,Y,missingpy,0.86,0.900432076688645
172,Churn,K-Nearest Neighbors,Y,sklearn,0.88,0.8972581461197753
173,Churn,MICE,Y,sklearn,0.88,0.8963475973643645
174,Churn,Expectation Maximization,Y,impyute,0.88,0.8993973069651433
175,Churn,Missing Forest,Y,missingpy,0.88,0.9014617599110016
176,Churn,K-Nearest Neighbors,Y,sklearn,0.9,0.9146446489771404
